merge_a,merge_b,endpoint,base_model,n_groups,median,n_positive,n_nonzero,p_wilcoxon,p_sign,q_wilcoxon,q_sign
anm134333,anm234230,any_spike,continuous_kinematics,19,0.0099127898180237,11,19,0.37359619140625,0.6476058959960938,0.37359619140625,0.6476058959960938
anm134333,anm234231,count,context,19,0.0158275950408049,15,19,0.000209808349609375,0.0192108154296875,0.0008392333984375,0.038421630859375
anm134333,anm234231,count,continuous_kinematics,19,0.008923943531095,15,19,0.001171112060546875,0.0192108154296875,0.00234222412109375,0.038421630859375
anm134333,anm234231,any_spike,context,19,0.015291803426662,12,19,0.07987594604492188,0.359283447265625,0.10650126139322917,0.4790445963541667
anm134333,anm234231,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.2934989929199219,0.6476058959960938,0.2934989929199219,0.6476058959960938
anm134333,anm234232,count,context,19,0.0158275950408049,15,19,0.000522613525390625,0.0192108154296875,0.0020904541015625,0.038421630859375
anm134333,anm234232,count,continuous_kinematics,19,0.0079079365151952,15,19,0.002399444580078125,0.0192108154296875,0.00479888916015625,0.038421630859375
anm134333,anm234232,any_spike,context,19,0.015291803426662,12,19,0.12318801879882812,0.359283447265625,0.16425069173177084,0.359283447265625
anm134333,anm234232,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.3954620361328125,0.359283447265625,0.3954620361328125,0.359283447265625
anm134333,anm244024,count,context,19,0.0158275950408049,15,19,0.00026702880859375,0.0192108154296875,0.001068115234375,0.038421630859375
anm134333,anm244024,count,continuous_kinematics,19,0.008923943531095,15,19,0.001171112060546875,0.0192108154296875,0.00234222412109375,0.038421630859375
anm134333,anm244024,any_spike,context,19,0.015291803426662,12,19,0.11337661743164062,0.359283447265625,0.1511688232421875,0.4790445963541667
anm134333,anm244024,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.312408447265625,0.6476058959960938,0.312408447265625,0.6476058959960938
anm134333,anm244025,count,context,19,0.0146381615421686,15,19,0.000522613525390625,0.0192108154296875,0.0020904541015625,0.038421630859375
anm134333,anm244025,count,continuous_kinematics,19,0.0079079365151952,15,19,0.002399444580078125,0.0192108154296875,0.00479888916015625,0.038421630859375
anm134333,anm244025,any_spike,context,19,0.0052476485641984,11,19,0.22532272338867188,0.6476058959960938,0.3004302978515625,0.6476058959960938
anm134333,anm244025,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.3954620361328125,0.6476058959960938,0.3954620361328125,0.6476058959960938
anm134333,anm244028,count,context,19,0.0146381615421686,15,19,0.000335693359375,0.0192108154296875,0.0013427734375,0.038421630859375
anm134333,anm244028,count,continuous_kinematics,19,0.008923943531095,15,19,0.002399444580078125,0.0192108154296875,0.00479888916015625,0.038421630859375
anm134333,anm244028,any_spike,context,19,0.007447940130777451,12,19,0.12318801879882812,0.359283447265625,0.16425069173177084,0.4790445963541667
anm134333,anm244028,any_spike,continuous_kinematics,19,0.0099127898180237,11,19,0.3954620361328125,0.6476058959960938,0.3954620361328125,0.6476058959960938
anm134333,anm266945,count,context,19,0.0158275950408049,15,19,0.000335693359375,0.0192108154296875,0.0013427734375,0.07684326171875
anm134333,anm266945,count,continuous_kinematics,19,0.008923943531095,14,19,0.0016937255859375,0.063568115234375,0.003387451171875,0.12713623046875
anm134333,anm266945,any_spike,context,19,0.015291803426662,12,19,0.12318801879882812,0.359283447265625,0.16425069173177084,0.4790445963541667
anm134333,anm266945,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4413337707519531,0.6476058959960938,0.4413337707519531,0.6476058959960938
anm134333,anm266951,count,context,20,0.01523287829148675,15,20,0.0003948211669921875,0.04138946533203125,0.00157928466796875,0.0827789306640625
anm134333,anm266951,count,continuous_kinematics,20,0.0084159400231451,15,20,0.0019855499267578125,0.04138946533203125,0.003971099853515625,0.0827789306640625
anm134333,anm266951,any_spike,context,20,0.0102697259954302,12,20,0.13272666931152344,0.5034446716308594,0.1769688924153646,0.5034446716308594
anm134333,anm266951,any_spike,continuous_kinematics,20,0.009711663105966401,12,20,0.34881019592285156,0.5034446716308594,0.34881019592285156,0.5034446716308594
anm134333,jf35892,count,context,19,0.0158275950408049,15,19,0.00026702880859375,0.0192108154296875,0.001068115234375,0.038421630859375
anm134333,jf35892,count,continuous_kinematics,19,0.008923943531095,15,19,0.00141143798828125,0.0192108154296875,0.0028228759765625,0.038421630859375
anm134333,jf35892,any_spike,context,19,0.015291803426662,12,19,0.12318801879882812,0.359283447265625,0.16425069173177084,0.4790445963541667
anm134333,jf35892,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4413337707519531,0.6476058959960938,0.4413337707519531,0.6476058959960938
anm134333,jf37166,count,context,19,0.0146381615421686,15,19,0.00026702880859375,0.0192108154296875,0.001068115234375,0.038421630859375
anm134333,jf37166,count,continuous_kinematics,19,0.0079079365151952,15,19,0.0016937255859375,0.0192108154296875,0.003387451171875,0.038421630859375
anm134333,jf37166,any_spike,context,19,0.015291803426662,12,19,0.11337661743164062,0.359283447265625,0.1511688232421875,0.359283447265625
anm134333,jf37166,any_spike,continuous_kinematics,19,0.0095105363939091,12,19,0.312408447265625,0.359283447265625,0.312408447265625,0.359283447265625
anm17702,anm211295,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm17702,anm211295,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm17702,anm211295,any_spike,context,19,0.0052476485641984,11,19,0.1956329345703125,0.6476058959960938,0.2608439127604167,0.6476058959960938
anm17702,anm211295,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4413337707519531,0.6476058959960938,0.4413337707519531,0.6476058959960938
anm17702,anm215592,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm17702,anm215592,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm17702,anm215592,any_spike,context,19,0.0052476485641984,11,19,0.1956329345703125,0.6476058959960938,0.2608439127604167,0.6476058959960938
anm17702,anm215592,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4653167724609375,0.6476058959960938,0.4653167724609375,0.6476058959960938
anm17702,anm217330,count,context,19,0.0158275950408049,15,19,0.00026702880859375,0.0192108154296875,0.001068115234375,0.038421630859375
anm17702,anm217330,count,continuous_kinematics,19,0.008923943531095,15,19,0.001171112060546875,0.0192108154296875,0.00234222412109375,0.038421630859375
anm17702,anm217330,any_spike,context,19,0.0052476485641984,11,19,0.18186569213867188,0.6476058959960938,0.24248758951822916,0.6476058959960938
anm17702,anm217330,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.5152778625488281,0.6476058959960938,0.5152778625488281,0.6476058959960938
anm17702,anm226692,count,context,19,0.0158275950408049,14,19,0.000644683837890625,0.063568115234375,0.0025787353515625,0.12713623046875
anm17702,anm226692,count,continuous_kinematics,19,0.008923943531095,14,19,0.0033416748046875,0.063568115234375,0.006683349609375,0.12713623046875
anm17702,anm226692,any_spike,context,19,0.015291803426662,11,19,0.156402587890625,0.6476058959960938,0.20853678385416666,0.6476058959960938
anm17702,anm226692,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.3524589538574219,0.359283447265625,0.3524589538574219,0.4790445963541667
anm17702,anm226694,count,context,19,0.0158275950408049,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm17702,anm226694,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm17702,anm226694,any_spike,context,19,0.0052476485641984,11,19,0.1956329345703125,0.6476058959960938,0.2608439127604167,0.6476058959960938
anm17702,anm226694,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4653167724609375,0.6476058959960938,0.4653167724609375,0.6476058959960938
anm17702,anm226695,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm17702,anm226695,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm17702,anm226695,any_spike,context,19,0.0052476485641984,11,19,0.1956329345703125,0.6476058959960938,0.2608439127604167,0.6476058959960938
anm17702,anm226695,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.5152778625488281,0.6476058959960938,0.5152778625488281,0.6476058959960938
anm17702,anm234230,count,context,19,0.0158275950408049,14,19,0.000644683837890625,0.063568115234375,0.0025787353515625,0.12713623046875
anm17702,anm234230,count,continuous_kinematics,19,0.008923943531095,14,19,0.002399444580078125,0.063568115234375,0.00479888916015625,0.12713623046875
anm17702,anm234230,any_spike,context,19,0.015291803426662,11,19,0.168792724609375,0.6476058959960938,0.22505696614583334,0.6476058959960938
anm17702,anm234230,any_spike,continuous_kinematics,19,0.0099127898180237,11,19,0.3954620361328125,0.6476058959960938,0.3954620361328125,0.6476058959960938
anm17702,anm234231,count,context,19,0.0158275950408049,15,19,0.000164031982421875,0.0192108154296875,0.0006561279296875,0.038421630859375
anm17702,anm234231,count,continuous_kinematics,19,0.008923943531095,15,19,0.000789642333984375,0.0192108154296875,0.00157928466796875,0.038421630859375
anm17702,anm234231,any_spike,context,19,0.0052476485641984,11,19,0.12318801879882812,0.6476058959960938,0.16425069173177084,0.6476058959960938
anm17702,anm234231,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.2753410339355469,0.6476058959960938,0.2753410339355469,0.6476058959960938
anm17702,anm234232,count,context,19,0.0158275950408049,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm17702,anm234232,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm17702,anm234232,any_spike,context,19,0.015291803426662,12,19,0.12318801879882812,0.359283447265625,0.16425069173177084,0.359283447265625
anm17702,anm234232,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.37359619140625,0.359283447265625,0.37359619140625,0.359283447265625
anm17702,anm244024,count,context,19,0.0158275950408049,15,19,0.00026702880859375,0.0192108154296875,0.001068115234375,0.038421630859375
anm17702,anm244024,count,continuous_kinematics,19,0.008923943531095,15,19,0.000965118408203125,0.0192108154296875,0.00193023681640625,0.038421630859375
anm17702,anm244024,any_spike,context,19,0.015291803426662,12,19,0.11337661743164062,0.359283447265625,0.1511688232421875,0.4790445963541667
anm17702,anm244024,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.2934989929199219,0.6476058959960938,0.2934989929199219,0.6476058959960938
anm17702,anm244025,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm17702,anm244025,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm17702,anm244025,any_spike,context,19,0.0052476485641984,11,19,0.22532272338867188,0.6476058959960938,0.3004302978515625,0.6476058959960938
anm17702,anm244025,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.3954620361328125,0.6476058959960938,0.3954620361328125,0.6476058959960938
anm17702,anm244028,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm17702,anm244028,count,continuous_kinematics,19,0.008135790128783349,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm17702,anm244028,any_spike,context,19,0.0052476485641984,11,19,0.18186569213867188,0.6476058959960938,0.24248758951822916,0.6476058959960938
anm17702,anm244028,any_spike,continuous_kinematics,19,0.0099127898180237,11,19,0.4180412292480469,0.6476058959960938,0.4180412292480469,0.6476058959960938
anm17702,anm266945,count,context,19,0.0152732785112414,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm17702,anm266945,count,continuous_kinematics,19,0.008923943531095,14,19,0.0016937255859375,0.063568115234375,0.003387451171875,0.12713623046875
anm17702,anm266945,any_spike,context,19,0.015291803426662,12,19,0.1336212158203125,0.359283447265625,0.17816162109375,0.4790445963541667
anm17702,anm266945,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4653167724609375,0.6476058959960938,0.4653167724609375,0.6476058959960938
anm17702,anm266951,count,context,20,0.01523287829148675,15,20,0.0003948211669921875,0.04138946533203125,0.00157928466796875,0.0827789306640625
anm17702,anm266951,count,continuous_kinematics,20,0.0084159400231451,15,20,0.0019855499267578125,0.04138946533203125,0.003971099853515625,0.0827789306640625
anm17702,anm266951,any_spike,context,20,0.0102697259954302,12,20,0.13272666931152344,0.5034446716308594,0.1769688924153646,0.5034446716308594
anm17702,anm266951,any_spike,continuous_kinematics,20,0.009711663105966401,12,20,0.34881019592285156,0.5034446716308594,0.34881019592285156,0.5034446716308594
anm17702,jf35892,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm17702,jf35892,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm17702,jf35892,any_spike,context,19,0.0052476485641984,11,19,0.1956329345703125,0.6476058959960938,0.2608439127604167,0.6476058959960938
anm17702,jf35892,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4653167724609375,0.6476058959960938,0.4653167724609375,0.6476058959960938
anm17702,jf37166,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm17702,jf37166,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm17702,jf37166,any_spike,context,19,0.01520331511636805,12,19,0.104156494140625,0.359283447265625,0.13887532552083334,0.359283447265625
anm17702,jf37166,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.3320655822753906,0.359283447265625,0.3320655822753906,0.359283447265625
anm211295,anm215592,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm211295,anm215592,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm211295,anm215592,any_spike,context,19,0.0052476485641984,11,19,0.1956329345703125,0.6476058959960938,0.2608439127604167,0.6476058959960938
anm211295,anm215592,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4413337707519531,0.6476058959960938,0.4413337707519531,0.6476058959960938
anm211295,anm217330,count,context,19,0.0146381615421686,15,19,0.00026702880859375,0.0192108154296875,0.001068115234375,0.038421630859375
anm211295,anm217330,count,continuous_kinematics,19,0.008923943531095,15,19,0.001171112060546875,0.0192108154296875,0.00234222412109375,0.038421630859375
anm211295,anm217330,any_spike,context,19,0.0052476485641984,11,19,0.18186569213867188,0.6476058959960938,0.24248758951822916,0.6476058959960938
anm211295,anm217330,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.5152778625488281,0.6476058959960938,0.5152778625488281,0.6476058959960938
anm211295,anm226692,count,context,19,0.0158275950408049,14,19,0.000644683837890625,0.063568115234375,0.0025787353515625,0.12713623046875
anm211295,anm226692,count,continuous_kinematics,19,0.008923943531095,14,19,0.0033416748046875,0.063568115234375,0.006683349609375,0.12713623046875
anm211295,anm226692,any_spike,context,19,0.015291803426662,11,19,0.14468765258789062,0.6476058959960938,0.1929168701171875,0.6476058959960938
anm211295,anm226692,any_spike,continuous_kinematics,19,0.0095105363939091,12,19,0.37359619140625,0.359283447265625,0.37359619140625,0.4790445963541667
anm211295,anm226694,count,context,19,0.0158275950408049,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm211295,anm226694,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm211295,anm226694,any_spike,context,19,0.0052476485641984,11,19,0.1956329345703125,0.6476058959960938,0.2608439127604167,0.6476058959960938
anm211295,anm226694,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4413337707519531,0.6476058959960938,0.4413337707519531,0.6476058959960938
anm211295,anm226695,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm211295,anm226695,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm211295,anm226695,any_spike,context,19,0.0052476485641984,11,19,0.1956329345703125,0.6476058959960938,0.2608439127604167,0.6476058959960938
anm211295,anm226695,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.5152778625488281,0.6476058959960938,0.5152778625488281,0.6476058959960938
anm211295,anm234230,count,context,19,0.0158275950408049,14,19,0.000644683837890625,0.063568115234375,0.0025787353515625,0.12713623046875
anm211295,anm234230,count,continuous_kinematics,19,0.008923943531095,14,19,0.002399444580078125,0.063568115234375,0.00479888916015625,0.12713623046875
anm211295,anm234230,any_spike,context,19,0.015291803426662,11,19,0.156402587890625,0.6476058959960938,0.20853678385416666,0.6476058959960938
anm211295,anm234230,any_spike,continuous_kinematics,19,0.0099127898180237,11,19,0.4180412292480469,0.6476058959960938,0.4180412292480469,0.6476058959960938
anm211295,anm234231,count,context,19,0.0146381615421686,15,19,0.000164031982421875,0.0192108154296875,0.0006561279296875,0.038421630859375
anm211295,anm234231,count,continuous_kinematics,19,0.008923943531095,15,19,0.000789642333984375,0.0192108154296875,0.00157928466796875,0.038421630859375
anm211295,anm234231,any_spike,context,19,0.0052476485641984,11,19,0.11337661743164062,0.6476058959960938,0.1511688232421875,0.6476058959960938
anm211295,anm234231,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.312408447265625,0.6476058959960938,0.312408447265625,0.6476058959960938
anm211295,anm234232,count,context,19,0.0158275950408049,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm211295,anm234232,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm211295,anm234232,any_spike,context,19,0.015291803426662,12,19,0.12318801879882812,0.359283447265625,0.16425069173177084,0.359283447265625
anm211295,anm234232,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.3954620361328125,0.359283447265625,0.3954620361328125,0.359283447265625
anm211295,anm244024,count,context,19,0.0146381615421686,15,19,0.00026702880859375,0.0192108154296875,0.001068115234375,0.038421630859375
anm211295,anm244024,count,continuous_kinematics,19,0.008923943531095,15,19,0.000965118408203125,0.0192108154296875,0.00193023681640625,0.038421630859375
anm211295,anm244024,any_spike,context,19,0.015291803426662,12,19,0.11337661743164062,0.359283447265625,0.1511688232421875,0.4790445963541667
anm211295,anm244024,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.3320655822753906,0.6476058959960938,0.3320655822753906,0.6476058959960938
anm211295,anm244025,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm211295,anm244025,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm211295,anm244025,any_spike,context,19,0.0052476485641984,11,19,0.22532272338867188,0.6476058959960938,0.3004302978515625,0.6476058959960938
anm211295,anm244025,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.3954620361328125,0.6476058959960938,0.3954620361328125,0.6476058959960938
anm211295,anm244028,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm211295,anm244028,count,continuous_kinematics,19,0.008135790128783349,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm211295,anm244028,any_spike,context,19,0.0052476485641984,11,19,0.18186569213867188,0.6476058959960938,0.24248758951822916,0.6476058959960938
anm211295,anm244028,any_spike,continuous_kinematics,19,0.0099127898180237,11,19,0.4413337707519531,0.6476058959960938,0.4413337707519531,0.6476058959960938
anm211295,anm266945,count,context,19,0.0152732785112414,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm211295,anm266945,count,continuous_kinematics,19,0.008923943531095,14,19,0.0016937255859375,0.063568115234375,0.003387451171875,0.12713623046875
anm211295,anm266945,any_spike,context,19,0.015291803426662,12,19,0.1336212158203125,0.359283447265625,0.17816162109375,0.4790445963541667
anm211295,anm266945,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4413337707519531,0.6476058959960938,0.4413337707519531,0.6476058959960938
anm211295,anm266951,count,context,20,0.01523287829148675,15,20,0.0003948211669921875,0.04138946533203125,0.00157928466796875,0.0827789306640625
anm211295,anm266951,count,continuous_kinematics,20,0.0084159400231451,15,20,0.0019855499267578125,0.04138946533203125,0.003971099853515625,0.0827789306640625
anm211295,anm266951,any_spike,context,20,0.0102697259954302,12,20,0.13272666931152344,0.5034446716308594,0.1769688924153646,0.5034446716308594
anm211295,anm266951,any_spike,continuous_kinematics,20,0.009711663105966401,12,20,0.34881019592285156,0.5034446716308594,0.34881019592285156,0.5034446716308594
anm211295,jf35892,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm211295,jf35892,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm211295,jf35892,any_spike,context,19,0.0052476485641984,11,19,0.1956329345703125,0.6476058959960938,0.2608439127604167,0.6476058959960938
anm211295,jf35892,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4653167724609375,0.6476058959960938,0.4653167724609375,0.6476058959960938
anm211295,jf37166,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm211295,jf37166,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm211295,jf37166,any_spike,context,19,0.015291803426662,12,19,0.104156494140625,0.359283447265625,0.13887532552083334,0.359283447265625
anm211295,jf37166,any_spike,continuous_kinematics,19,0.0095105363939091,12,19,0.3524589538574219,0.359283447265625,0.3524589538574219,0.359283447265625
anm215592,anm217330,count,context,19,0.0158275950408049,15,19,0.00026702880859375,0.0192108154296875,0.001068115234375,0.038421630859375
anm215592,anm217330,count,continuous_kinematics,19,0.008923943531095,15,19,0.001171112060546875,0.0192108154296875,0.00234222412109375,0.038421630859375
anm215592,anm217330,any_spike,context,19,0.0052476485641984,11,19,0.18186569213867188,0.6476058959960938,0.24248758951822916,0.6476058959960938
anm215592,anm217330,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.5412178039550781,0.6476058959960938,0.5412178039550781,0.6476058959960938
anm215592,anm226692,count,context,19,0.0158275950408049,14,19,0.000644683837890625,0.063568115234375,0.0025787353515625,0.12713623046875
anm215592,anm226692,count,continuous_kinematics,19,0.008923943531095,14,19,0.0033416748046875,0.063568115234375,0.006683349609375,0.12713623046875
anm215592,anm226692,any_spike,context,19,0.015291803426662,11,19,0.14468765258789062,0.6476058959960938,0.1929168701171875,0.6476058959960938
anm215592,anm226692,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.3320655822753906,0.359283447265625,0.3320655822753906,0.4790445963541667
anm215592,anm226694,count,context,19,0.0158275950408049,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm215592,anm226694,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm215592,anm226694,any_spike,context,19,0.0052476485641984,11,19,0.1956329345703125,0.6476058959960938,0.2608439127604167,0.6476058959960938
anm215592,anm226694,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4180412292480469,0.6476058959960938,0.4180412292480469,0.6476058959960938
anm215592,anm226695,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm215592,anm226695,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm215592,anm226695,any_spike,context,19,0.0052476485641984,11,19,0.1956329345703125,0.6476058959960938,0.2608439127604167,0.6476058959960938
anm215592,anm226695,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.5412178039550781,0.6476058959960938,0.5412178039550781,0.6476058959960938
anm215592,anm234230,count,context,19,0.0158275950408049,14,19,0.000644683837890625,0.063568115234375,0.0025787353515625,0.12713623046875
anm215592,anm234230,count,continuous_kinematics,19,0.008923943531095,14,19,0.002399444580078125,0.063568115234375,0.00479888916015625,0.12713623046875
anm215592,anm234230,any_spike,context,19,0.015291803426662,11,19,0.156402587890625,0.6476058959960938,0.20853678385416666,0.6476058959960938
anm215592,anm234230,any_spike,continuous_kinematics,19,0.0099127898180237,11,19,0.37359619140625,0.6476058959960938,0.37359619140625,0.6476058959960938
anm215592,anm234231,count,context,19,0.0158275950408049,15,19,0.000164031982421875,0.0192108154296875,0.0006561279296875,0.038421630859375
anm215592,anm234231,count,continuous_kinematics,19,0.008923943531095,15,19,0.000789642333984375,0.0192108154296875,0.00157928466796875,0.038421630859375
anm215592,anm234231,any_spike,context,19,0.015291803426662,12,19,0.05457305908203125,0.359283447265625,0.07276407877604167,0.359283447265625
anm215592,anm234231,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.18186569213867188,0.359283447265625,0.18186569213867188,0.359283447265625
anm215592,anm234232,count,context,19,0.0158275950408049,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm215592,anm234232,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm215592,anm234232,any_spike,context,19,0.015291803426662,12,19,0.11337661743164062,0.359283447265625,0.1511688232421875,0.359283447265625
anm215592,anm234232,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.3524589538574219,0.359283447265625,0.3524589538574219,0.359283447265625
anm215592,anm244024,count,context,19,0.0158275950408049,15,19,0.00026702880859375,0.0192108154296875,0.001068115234375,0.038421630859375
anm215592,anm244024,count,continuous_kinematics,19,0.008923943531095,15,19,0.000965118408203125,0.0192108154296875,0.00193023681640625,0.038421630859375
anm215592,anm244024,any_spike,context,19,0.015291803426662,12,19,0.104156494140625,0.359283447265625,0.13887532552083334,0.359283447265625
anm215592,anm244024,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.18186569213867188,0.359283447265625,0.18186569213867188,0.359283447265625
anm215592,anm244025,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm215592,anm244025,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm215592,anm244025,any_spike,context,19,0.0052476485641984,11,19,0.22532272338867188,0.6476058959960938,0.24125289916992188,0.6476058959960938
anm215592,anm244025,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.24125289916992188,0.359283447265625,0.24125289916992188,0.4790445963541667
anm215592,anm244028,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm215592,anm244028,count,continuous_kinematics,19,0.0083636437423715,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm215592,anm244028,any_spike,context,19,0.0052476485641984,11,19,0.168792724609375,0.6476058959960938,0.22505696614583334,0.6476058959960938
anm215592,anm244028,any_spike,continuous_kinematics,19,0.0099127898180237,11,19,0.3954620361328125,0.6476058959960938,0.3954620361328125,0.6476058959960938
anm215592,anm266945,count,context,19,0.0158275950408049,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm215592,anm266945,count,continuous_kinematics,19,0.008923943531095,14,19,0.0016937255859375,0.063568115234375,0.003387451171875,0.12713623046875
